

fn-[read_pidns] buf : pid:[4026531836]  result: 16 
fn-[read_pidns] host_pidns: 4026531836 
 
TIME     EVENT COMM             PID     CPUUSAGE  MEMUSAGE
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    200.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 CLOCK  kdevtmpfsi       7572    200.000000% 59.805901%
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 CLOCK  kdevtmpfsi       7572    200.000000% 59.805901%
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 CLOCK  kdevtmpfsi       7572    200.000000% 59.805901%
15:37:47 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:48 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:49 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 CLOCK  kdevtmpfsi       7572    800.000000% 59.803112%
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:50 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:51 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:52 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 CLOCK  kdevtmpfsi       7572    400.000000% 59.803112%
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:53 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 CLOCK  kdevtmpfsi       7572    200.000000% 59.803112%
15:37:54 MINER kdevtmpfsi       7572    
15:37:54 MINER kdevtmpfsi       7572    
